Date,Shift,Time,Operator Name,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced,CycleTime(M:S),Idle Time(Hrs),Stop Time(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization(%.)
2018-09-07,1,08:00 - 09:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 44W 5F33230020)",6,00:05:00,00:20:19,00:00:00,00:39:41,01:00:00,49
2018-09-07,1,09:00 - 10:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 44W 5F33230020) & 
M63
N1
 S5M 5D3830120)",7,00:05:21,00:21:05,00:00:00,00:38:55,01:00:00,51
2018-09-07,1,10:00 - 11:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 S5M 5D3830120)",5,00:05:15,00:23:31,00:00:00,00:36:29,01:00:00,47
2018-09-07,1,11:00 - 12:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 S5M 5D3830120)",2,00:05:16,00:51:40,00:00:00,00:08:20,01:00:00,13
2018-09-07,1,12:00 - 13:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 S5M 5D3830120)",8,00:05:17,00:10:07,00:00:00,00:49:53,01:00:00,65
2018-09-07,1,13:00 - 14:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 S5M 5D3830120)",2,00:05:18,00:02:10,00:47:30,00:30:55,01:00:00,17
2018-09-07,1,14:00 - 15:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 S5M 5D3830120)",4,00:04:58,00:41:27,00:00:00,00:18:33,01:00:00,30
2018-09-07,1,15:00 - 16:00,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 S5M 5D3830120)",6,00:04:49,00:15:06,00:00:00,00:44:54,01:00:00,66
2018-09-07,1,16:00 - 16:30,Not Assigned,Not Assigned,SGI/TC-01,LL20L3,42,"
M63
N1
 S5M 5D3830120)",4,00:05:35,00:04:12,00:00:00,00:25:48,00:30:00,71
2018-09-07,1,08:00 - 09:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,-,"",0,00:00:00,01:00:00,00:00:00,00:00:00,01:00:00,0
2018-09-07,1,09:00 - 10:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,-,(TBP 40T S5M 5D3830120),0,00:00:00,00:58:31,00:00:00,00:01:29,01:00:00,2
2018-09-07,1,10:00 - 11:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,3830,(TBP 40T S5M 5D3830120),6,00:04:10,00:22:27,00:00:00,00:37:33,01:00:00,45
2018-09-07,1,11:00 - 12:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,3830,(TBP 40T S5M 5D3830120),1,00:04:02,00:30:32,00:48:20,00:03:01,01:00:00,5
2018-09-07,1,12:00 - 13:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,3830,(TBP 40T S5M 5D3830120),9,00:04:05,00:12:20,00:00:00,00:47:40,01:00:00,60
2018-09-07,1,13:00 - 14:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,3830,(TBP 40T S5M 5D3830120),2,00:04:46,00:02:58,00:46:32,00:29:27,01:00:00,17
2018-09-07,1,14:00 - 15:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,3830,(TBP 40T S5M 5D3830120),1,00:04:36,00:57:49,00:00:00,00:02:11,01:00:00,3
2018-09-07,1,15:00 - 16:00,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,3830,(TBP 40T S5M 5D3830120),1,00:14:37,00:05:12,00:40:38,00:31:08,01:00:00,23
2018-09-07,1,16:00 - 16:30,Not Assigned,Not Assigned,SGI/TC-02,LL20TL3,-,(TBP 40T S5M 5D3830120),0,00:00:00,00:08:13,00:00:00,00:21:47,00:30:00,71
