Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,1396,(A51394N_40 COVER SFG TU2),17,00:12:29,00:11:03,00:44:57,00:56:00,03:34:00,04:30:00,79
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M124,LMW,1391 | 1206 | 1207 | 7909 | 3972 | 675,([CORKEN] FLANGE=3 INCH NPT 1ST),2,00:03:44,01:37:33,02:41:27,04:19:00,00:11:00,04:30:00,4
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/VMC/BA/M-M029,DOOSAN,500,(CR.CA-5HP-10 SFG-V1) & (T00L REFERENCE ) & (S.P O500),11,00:01:13,00:36:40,00:33:20,01:10:00,03:20:00,04:30:00,74
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/VMC/BA/M-M028,DOOSAN,393,"(A51394N COVER I & (DNM/CAM TYPE, M06) & (S.P O1397) & (S.P O0394)",6,00:29:40,00:23:18,01:15:42,01:39:00,02:51:00,04:30:00,63
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/HMC/BA/M-M107,DOOSAN,1302,(01302-005-40 SFG-V1) & (TOOL CHANGE-HP46BA06),14,00:00:00,00:00:14,00:24:46,00:25:00,04:05:00,04:30:00,90
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M001,ELECTRONICA,20,(HEAD-2-2ST-50MM_10 SFG-TU1),59,00:02:51,00:03:00,01:39:00,01:42:00,02:48:00,04:30:00,62
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M011,PARISUDH,9055,(9051 COUNTER WEIGHT NEW CAST 1ST),19,00:06:05,00:00:19,02:38:41,02:39:00,01:51:00,04:30:00,41
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/VTL/BA/M-M031,HWACHEON,6892,(A16892L_30 SFG-TU1),32,00:04:57,00:10:27,01:37:33,01:48:00,02:42:00,04:30:00,60
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/VTL/BA/M-M032,HWACHEON,6850,(A36850E SUP PAL 1ST OPN) & (A36850E_30 SFG-TU1),32,00:04:46,00:03:51,01:45:09,01:49:00,02:41:00,04:30:00,59
2018-05-04,1,07:30AM - 12:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M033,HWACHEON,146,(012DC145-1_10 SFG-TU1),77,00:02:10,00:01:17,01:34:43,01:36:00,02:54:00,04:30:00,64
