Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-11-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,26 | 29 | 31 | 32 | 34 | 33,(ROUND PLATE 18 DL),4,0,00:44:44,04:08:16,04:53:00,07:07:00,12:00:00,59
2017-11-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,29,(OLEO 1OP M20 TAP),35,00:08:59,00:36:45,06:11:15,06:48:00,05:12:00,12:00:00,43
2017-11-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,26,(ROUND PLATE 18 DL),13,0,00:00:39,07:17:21,07:18:00,04:42:00,12:00:00,39
2017-11-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,29 | 105 | 107,(OLEO 1OP M20 TAP) & (OLEO 2OP),51,00:05:31,00:53:06,03:34:54,04:28:00,07:32:00,12:00:00,62
2017-11-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,26,(ROUND PLATE 18 DL),3,00:21:12,00:31:04,09:46:56,10:18:00,01:42:00,12:00:00,14
2017-11-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,26,(ROUND PLATE 18 DL),24,00:21:16,01:46:48,01:53:12,03:40:00,08:20:00,12:00:00,69
2017-11-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,105,(OLEO 2OP) & (M99 O105),99,00:04:30,00:25:41,03:44:19,04:10:00,07:50:00,12:00:00,65
2017-11-03,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,26 | 143 | 144 | 145,(ROUND PLATE 18 DL) & (*CONTROLVALVE RH,12,00:21:12,00:45:00,06:20:00,07:05:00,04:55:00,12:00:00,40
