Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-11-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,3523,(BLOCK MOUNTING 1ST OPN),16,00:23:13,00:49:04,02:17:56,03:07:00,06:23:00,09:30:00,67
2017-11-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,6805,(FORD CYLINDER HEAD) & (TOOL CHANGE PROGRAM),18,00:20:49,00:45:00,02:10:00,02:55:00,06:35:00,09:30:00,69
2017-11-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,3523,(BLOCK MOUNTING 1ST OPN) & (TOOL CHANGE PROGRAM),17,00:23:13,00:25:30,01:25:30,01:51:00,06:39:00,07:40:00,86
2017-11-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,6805,(FORD CYLINDER HEAD) & (TOOL CHANGE PROGRAM),19,00:20:47,00:38:57,01:17:03,01:56:00,06:34:00,07:40:00,85
2017-11-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,3523,(BLOCK MOUNTING 1ST OPN) & (TOOL CHANGE PROGRAM),10,0,00:36:50,02:30:10,03:07:00,03:53:00,06:40:00,58
2017-11-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,6805,(FORD CYLINDER HEAD) & (TOOL CHANGE PROGRAM),11,0,00:53:54,02:16:06,03:10:00,03:50:00,06:40:00,57
2017-11-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2017-11-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,6805,"",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2017-11-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-11-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-11-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,3523,(BLOCK MOUNTING 1ST OPN),13,00:23:13,00:45:04,03:54:56,04:40:00,04:50:00,09:30:00,50
2017-11-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524 | 3522,(*BLOCK MOUNTING 2ND OPN-20*),8,00:42:43,01:08:13,03:13:47,04:22:00,05:08:00,09:30:00,54
2017-11-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,3523,"",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-11-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),1,00:42:38,00:03:05,07:42:55,07:46:00,00:44:00,07:40:00,9
2017-11-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-04,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,1 | 64 | 68 | 22 | 7 | 60 | 350 | 403 | 404 | 408 | 839 | 2258 | 2259 | 2260 | 2261,(ALFO 1 COVER VMC OPN 10) & (ALFO 1 COVER VMC OPN 20),2,0,02:17:37,06:39:23,08:57:00,00:33:00,09:30:00,5
2017-11-04,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),9,00:18:29,00:48:25,02:49:35,03:38:00,05:52:00,09:30:00,61
2017-11-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-11-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),0,0,00:00:00,08:07:00,08:07:00,00:23:00,07:40:00,5
2017-11-04,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-04,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-05,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-05,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-05,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-05,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-05,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-05,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-06,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,565 | 3636,(CLUTCH COVER SUPPORT),1,0,00:16:04,08:59:56,09:16:00,00:14:00,09:30:00,2
2017-11-06,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),10,00:42:39,00:57:30,02:24:30,03:22:00,06:08:00,09:30:00,64
2017-11-06,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,3636,(CLUTCH COVER SUPPORT),0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-11-06,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),0,0,00:00:00,07:51:00,07:51:00,00:39:00,07:40:00,8
2017-11-06,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-06,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-07,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,3636 | 299 | 497 | 1 | 330,(SEAL RETAINNER),39,00:00:31,00:18:51,08:47:09,09:06:00,00:24:00,09:30:00,4
2017-11-07,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524 | 3522,(*BLOCK MOUNTING 2ND OPN-20*) & (TOOL CHANGE PROGRAM),9,00:42:46,01:29:15,02:25:45,03:55:00,05:35:00,09:30:00,58
2017-11-07,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,330,(SEAL RETAINNER),37,00:00:34,00:18:30,07:49:30,08:08:00,00:22:00,07:40:00,4
2017-11-07,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),1,00:42:43,00:03:27,07:34:33,07:38:00,00:52:00,07:40:00,11
2017-11-07,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-07,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-08,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-08,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-08,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-08,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-08,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-08,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-09,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-09,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-09,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-09,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-09,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-09,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-10,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-10,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-10,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-10,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-10,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-10,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-11,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-11,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-11,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-11,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-11,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-11,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-12,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-12,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2017-11-12,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-12,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2017-11-12,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-11-12,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
