Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-11-01,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-01,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,1 | 29,(TBP 42T41WITH F222305/0) & (26T SPUR GEAR),134,0,00:09:00,07:28:00,07:37:00,00:53:00,07:50:00,11
2017-11-01,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,06:30:00,0
2017-11-02,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,29,(26T SPUR GEAR),21,00:00:39,00:06:36,08:10:24,08:17:00,00:13:00,07:50:00,2
2017-11-02,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-02,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-03,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,29 | 1,(26T SPUR GEAR) & (TBP 42T41WITH F222305/0),92,00:06:20,00:15:31,05:39:29,05:55:00,02:35:00,07:50:00,32
2017-11-03,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,1,(TBP 42T41WITH F222305/0),14,00:06:19,00:02:24,06:53:36,06:56:00,01:34:00,07:50:00,20
2017-11-03,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-04,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,1,(TBP 42T41WITH F222305/0),5,00:06:19,00:02:15,07:58:45,08:01:00,00:29:00,07:50:00,6
2017-11-04,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,1,(TBP 42T41WITH F222305/0),0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:50:00,0
2017-11-04,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-05,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-05,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-05,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-06,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-06,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-06,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-07,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-07,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-07,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-08,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-08,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-08,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-09,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-09,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-09,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-10,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-10,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-10,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-11,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-11,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2017-11-11,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2017-11-12,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
