Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-11-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),17,00:02:51,00:25:30,10:18:30,10:44:00,01:16:00,12:00:00,10
2017-11-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),9,0,00:07:48,11:42:12,11:50:00,00:10:00,12:00:00,1
2017-11-03,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),109,00:02:57,00:45:50,05:40:10,06:26:00,05:34:00,12:00:00,46
2017-11-03,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-04,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),138,00:00:12,00:41:06,04:25:54,05:07:00,06:53:00,12:00:00,57
2017-11-04,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),28,0,00:21:00,11:09:00,11:30:00,00:30:00,12:00:00,4
2017-11-05,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),72,0,00:23:07,08:00:53,08:24:00,03:36:00,12:00:00,30
2017-11-05,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-06,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),152,00:02:59,00:55:44,03:28:16,04:24:00,07:36:00,12:00:00,63
2017-11-06,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),124,00:00:52,00:28:28,05:39:32,06:08:00,05:52:00,12:00:00,48
2017-11-07,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),153,00:00:49,00:27:00,05:07:00,05:34:00,06:26:00,12:00:00,53
2017-11-07,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),135,00:02:55,00:47:15,04:32:45,05:20:00,06:40:00,12:00:00,55
2017-11-08,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),126,00:02:59,00:50:24,04:52:36,05:43:00,06:17:00,12:00:00,52
2017-11-08,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),195,00:02:57,00:16:00,04:08:00,04:24:00,07:36:00,12:00:00,63
2017-11-09,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-09,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),148,00:00:53,00:29:48,04:23:12,04:53:00,07:07:00,12:00:00,59
2017-11-10,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),48,00:02:56,00:12:00,10:13:00,10:25:00,01:35:00,12:00:00,13
2017-11-10,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),176,00:03:02,00:31:21,03:39:39,04:11:00,07:49:00,12:00:00,65
2017-11-11,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),153,00:03:03,00:51:00,03:24:00,04:15:00,07:45:00,12:00:00,64
2017-11-11,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),140,00:00:53,00:18:16,05:56:44,06:15:00,05:45:00,12:00:00,47
2017-11-12,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),95,0,00:21:30,07:06:30,07:28:00,04:32:00,12:00:00,37
2017-11-12,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-11-13,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),141,00:02:56,00:52:04,04:07:56,05:00:00,07:00:00,12:00:00,58
2017-11-13,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),142,0,00:30:46,04:28:14,04:59:00,07:01:00,12:00:00,58
2017-11-14,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000,(6 INCH REV PLATE 2ND OPN),104,0,00:05:15,06:45:45,06:51:00,05:09:00,12:00:00,42
2017-11-14,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000 | 4053,(6 INCH REV PLATE 2ND OPN) & (4 INCH 1 ST OPN),44,0,00:14:20,10:22:40,10:37:00,01:23:00,12:00:00,11
2017-11-15,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4053,(4 INCH 1 ST OPN),233,00:01:41,00:50:29,04:12:31,05:03:00,06:57:00,12:00:00,57
2017-11-15,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4053 | 1103 | 4 | 5,"
(4 INCH 2ND OPN)",208,00:00:19,00:06:56,06:45:04,06:52:00,05:08:00,12:00:00,42
2017-11-16,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,1103,"
(4 INCH 2ND OPN)",220,00:01:49,00:51:20,04:32:40,05:24:00,06:36:00,12:00:00,55
