Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-11-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1029 | 1031 | 626 | 368 | 369 | 367 | 370,(BEARING BODY) & (INDERMEDIA STAND),0,0,00:00:00,08:54:00,08:54:00,01:51:00,10:45:00,17
2017-11-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,179,(SPACER FOR T,35,00:01:31,00:11:24,05:02:36,05:14:00,05:31:00,10:45:00,51
2017-11-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2017-11-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,179,(SPACER FOR T,54,0,00:08:06,03:44:54,03:53:00,05:22:00,09:15:00,58
2017-11-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,368 | 374,(INDERMEDIA STAND),0,0,00:00:00,07:21:00,07:21:00,03:24:00,10:45:00,31
2017-11-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,179 | 555 | 1 | 230 | 229 | 28 | 730 | 29,"(SPACER FOR T & 
N1
G30U0W0
STAND) & 
M99P11
N1
 STAND) & 
M99P11
N1

STAND)",52,0,00:31:10,09:33:50,10:05:00,00:40:00,10:45:00,6
2017-11-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,368,(INDERMEDIA STAND),0,0,00:00:00,05:56:00,05:56:00,03:19:00,09:15:00,35
2017-11-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,1 | 252 | 225 | 230 | 231 | 232 | 233 | 234 | 235 | 236 | 237 | 238 | 40 | 710 | 91 | 711,"(MULTI GROOVE PULLY) & (OD 101.60) & 
N1
G30U0W0
STAND) & 

N1
RMEDIA STAND)",18,00:01:55,00:06:01,07:49:59,07:56:00,01:19:00,09:15:00,14
2017-11-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,368 | 1025 | 905 | 918,(INDERMEDIA STAND) & (S BOX R/W) & (SPIN BOX),0,0,00:00:00,06:01:00,06:01:00,04:44:00,10:45:00,44
2017-11-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,711 | 15 | 750 | 1 | 100 | 1000,"
N1
G30U0W0
STAND) & 
N1
G30U0W0
G80G40
N1(12MM E/M) & 
N1
G30U0W0
1(50MM F/M) & (RADIUS 0.3)",36,00:00:15,01:29:27,07:59:33,09:29:00,01:16:00,10:45:00,11
2017-11-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,905 | 918 | 919 | 515 | 1 | 518 | 3,"(SPIN BOX) & 
N100(12MM E/M) & 
N1(12MM E/M) & (RE)",0,0,00:00:00,08:28:00,08:28:00,00:47:00,09:15:00,8
2017-11-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,1000 | 297 | 109 | 110 | 801 | 112,(RADIUS 0.3) & (2ND OPN),21,00:12:19,00:15:24,04:52:36,05:08:00,04:07:00,09:15:00,44
2017-11-04,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,3 | 368 | 1 | 386 | 356 | 450 | 905 | 1000,"(RE) & (INDERMEDIA STAND) & 
(PROGRAM NAME - 1-6MM EM) & (SPIN BOX 4TH SETTING)",0,0,00:00:00,04:47:00,04:47:00,05:58:00,10:45:00,55
