Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-11-01,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-02,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-03,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-04,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-04,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-05,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-05,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-05,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-06,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-06,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-06,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-07,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-07,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-07,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-08,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-08,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-08,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-09,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-09,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:30:00,0
2017-11-09,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
2017-11-10,1,08:30AM - 05:00PM,balakrishnan-11/10/17 08:33 AM,AD-OP-001,AD/HMC-001,AMS Micromatic,3870,(G600MPH HOUSING 1ST OPN),1,00:22:17,00:00:00,08:07:00,08:07:00,00:23:00,08:30:00,4
2017-11-10,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870,(G600MPH HOUSING 1ST OPN),14,00:22:21,00:37:15,02:38:45,03:16:00,05:14:00,08:30:00,61
