Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,100,(PD/85 BODY/I),3,00:18:01,02:12:20,09:10:40,11:23:00,00:37:00,12:00:00,5
2017-12-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-12-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,55 | 150 | 154 | 155 | 156 | 157 | 57 | 72,(FORK 2) & (LK815 1ST OPP),6,00:23:10,00:17:25,09:36:35,09:54:00,02:06:00,12:00:00,17
2017-12-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,100,(PD/85 BODY/I),14,0,01:01:22,06:45:38,07:47:00,04:13:00,12:00:00,35
2017-12-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-12-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,55,(LK815 1ST OPP),22,00:21:04,01:51:46,01:50:14,03:42:00,08:18:00,12:00:00,69
2017-12-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,100,(PD/85 BODY/I),15,00:00:00,01:13:14,05:39:46,06:53:00,05:07:00,12:00:00,42
2017-12-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-12-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,GTA/VMC-850,jyoti VMC,55,(LK815 1ST OPP),21,0,01:00:32,03:58:28,04:59:00,07:01:00,12:00:00,58
2017-12-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1260,jyoti VMC,100,(PD/85 BODY/I),17,00:17:52,01:11:41,05:51:19,07:03:00,04:57:00,12:00:00,41
2017-12-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,GTA/VMC-1050,jyoti VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
