Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2017-12-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,8305,(FNK-100 4TH OPN),54,00:03:37,00:50:24,05:08:36,05:59:00,03:31:00,09:30:00,37
2017-12-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-12-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,8305,(FNK-100 4TH OPN),7,00:03:39,00:07:14,07:57:46,08:05:00,00:25:00,07:40:00,5
2017-12-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-12-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2017-12-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2017-12-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,8304,(FNK-100 3RD OPN),33,00:08:37,00:50:36,03:59:24,04:50:00,04:40:00,09:30:00,49
2017-12-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-12-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,8304 | 8502,(FNK-100 3RD OPN),34,00:08:39,00:45:54,02:42:06,03:28:00,05:02:00,07:40:00,65
2017-12-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,06:40:00,0
2017-12-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,8304 | 8502 | 8503,(FNK-100 3RD OPN),25,00:08:33,00:55:00,02:37:00,03:32:00,03:28:00,06:40:00,52
2017-12-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2017-12-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,8304 | 8502 | 47 | 45 | 46,(FNK-100 3RD OPN) & (TOOL CHANGE PROGRAM) & (ROOTS VALVE),36,00:00:39,00:59:18,03:44:42,04:44:00,04:46:00,09:30:00,50
2017-12-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2017-12-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,45 | 327 | 328 | 31,(ROOTS VALVE) & (ROOTS VALVE G1/4 BSP TAP),5,00:02:53,01:16:17,06:15:43,07:32:00,00:58:00,07:40:00,12
