Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,06:00 AM - 02:00 PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:00:00,0
2017-12-01,2,02:00PM - 11:00PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:00:00,0
2017-12-02,1,06:00 AM - 02:00 PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:00:00,0
2017-12-02,2,02:00PM - 11:00PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:00:00,0
2017-12-03,1,06:00 AM - 02:00 PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:00:00,0
2017-12-03,2,02:00PM - 11:00PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:00:00,0
2017-12-04,1,06:00 AM - 02:00 PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:00:00,0
2017-12-04,2,02:00PM - 11:00PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:00:00,0
2017-12-05,1,06:00 AM - 02:00 PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:00:00,0
2017-12-05,2,02:00PM - 11:00PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:00:00,0
2017-12-06,1,06:00 AM - 02:00 PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:00:00,0
2017-12-06,2,02:00PM - 11:00PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:00:00,0
2017-12-07,1,06:00 AM - 02:00 PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,08:00:00,0
2017-12-07,2,02:00PM - 11:00PM,Not Assigned,Not Assigned,HTI/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:00:00,0
