Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,5000 | 4 | 4006 | 1 | 4053,(80 X 46 X 9.5 THRUST RING) & (4# REVOVING PLATE 63 GROOVE),194,00:00:39,01:39:01,07:46:59,09:26:00,02:34:00,12:00:00,21
2017-12-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),9,0,00:27:54,10:58:06,11:26:00,00:34:00,12:00:00,4
2017-12-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),77,0,00:06:20,07:51:40,07:58:00,04:02:00,12:00:00,33
2017-12-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-12-03,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-12-03,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2017-12-04,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),116,00:03:30,00:44:05,04:51:55,05:36:00,06:24:00,12:00:00,53
2017-12-04,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),143,00:03:26,00:21:27,03:13:33,03:35:00,08:25:00,12:00:00,70
2017-12-05,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),140,00:03:30,00:35:00,03:13:00,03:48:00,08:12:00,12:00:00,68
2017-12-05,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006 | 2768,(4# REVOVING PLATE 63 GROOVE),112,0,00:14:56,05:07:04,05:22:00,06:38:00,12:00:00,55
2017-12-06,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),70,00:04:38,00:16:16,07:31:44,07:48:00,04:12:00,12:00:00,35
2017-12-06,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),121,00:03:24,00:16:08,04:32:52,04:49:00,07:11:00,12:00:00,59
2017-12-07,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),142,00:02:57,00:33:08,03:22:52,03:56:00,08:04:00,12:00:00,67
2017-12-07,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4006,(4# REVOVING PLATE 63 GROOVE),136,00:03:26,00:11:05,04:11:55,04:23:00,07:37:00,12:00:00,63
