Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,789 | 1 | 5 | 4 | 2,"(CLOS SETTING SADDLE/RNT) & 
N8(80MM F/M) & 
N1(R/G)",8,00:11:45,00:06:18,09:12:42,09:19:00,01:26:00,10:45:00,13
2017-12-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,852,(A3 FLAT PULLY FOR 1ST D.S),13,00:12:20,00:06:46,07:51:14,07:58:00,02:47:00,10:45:00,25
2017-12-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2017-12-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2017-12-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,791,(CLOS SETTING SADDLE/RNT),11,0,00:11:11,09:22:49,09:34:00,01:11:00,10:45:00,11
2017-12-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,850,(TENSION ELEMENT *17*21*6.3),15,0,00:01:30,10:03:30,10:05:00,00:40:00,10:45:00,6
2017-12-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2017-12-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,850 | 41 | 40 | 42 | 851,(TENSION ELEMENT 17*21*6.3),101,00:02:57,00:01:42,04:07:18,04:09:00,05:06:00,09:15:00,55
2017-12-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,10:45:00,10:45:00,00:00:00,10:45:00,0
2017-12-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,10:45:00,10:45:00,00:00:00,10:45:00,0
2017-12-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2017-12-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2017-12-04,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,791 | 2 | 4 | 1 | 793 | 211 | 212 | 3 | 884 | 624,"(CLOS SETTING SADDLE/RNT) & 
N1(80MM F/M)",8,00:02:58,05:26:00,02:42:00,08:08:00,02:37:00,10:45:00,24
2017-12-04,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,851,(TENSION ELEMENT 17*21*6.3),101,0,00:03:24,05:40:36,05:44:00,05:01:00,10:45:00,46
2017-12-04,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1 | 3 | 2 | 8,"
N1(80MM F/M)",0,0,00:00:00,07:54:00,07:54:00,01:21:00,09:15:00,14
2017-12-04,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2017-12-05,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1 | 2 | 200 | 3 | 5 | 793 | 794,"
N1(80MM F/M) & 
N1(16MM) & (CLOS SETTING SADDLE/RNT)",44,00:02:58,00:38:42,05:16:18,05:55:00,04:50:00,10:45:00,44
2017-12-05,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,851 | 850,(TENSION ELEMENT 17*21*6.3) & (TENSION ELEMENT *17*21*6.3),20,00:00:00,00:07:34,05:13:26,05:21:00,05:24:00,10:45:00,50
2017-12-05,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,794 | 884,(CLOS SETTING SADDLE/RNT),29,0,00:24:10,07:24:50,07:49:00,01:26:00,09:15:00,15
2017-12-05,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,851 | 1 | 28 | 920 | 29 | 96 | 199 | 950 | 850 | 825 | 41 | 40 | 930,"(TENSION ELEMENT 17*21*6.3) & 
N1
G30U0W0
G SADDLE/RNT) & 
N0
G30U0W0
G SADDLE/RNT)",19,00:02:43,01:27:53,05:25:07,06:53:00,02:22:00,09:15:00,25
2017-12-06,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,884,(REDUCTION GEAR BOX),11,00:03:05,02:47:01,03:04:59,05:52:00,04:53:00,10:45:00,45
2017-12-06,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,930,"
N0
G30U0W0
EAR BOX)",142,00:02:55,00:02:23,03:47:37,03:50:00,06:55:00,10:45:00,64
2017-12-06,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,884,(REDUCTION GEAR BOX),5,0,02:39:00,04:42:00,07:21:00,01:54:00,09:15:00,20
2017-12-06,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,930 | 242 | 940 | 231 | 250 | 238 | 234 | 239 | 1 | 40 | 41,"
N0
G30U0W0
EAR BOX) & (OD 86.06) & (OD 84.47) & 
N0
G30U0W0
1
G30U0W0
54.75)",76,00:02:50,00:12:32,05:00:28,05:13:00,04:02:00,09:15:00,43
2017-12-07,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,884,(REDUCTION GEAR BOX),10,00:05:31,01:38:40,04:58:20,06:37:00,04:08:00,10:45:00,38
2017-12-07,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,930,"
N0
G30U0W0
EAR BOX)",67,00:02:49,00:02:16,07:30:44,07:33:00,03:12:00,10:45:00,29
2017-12-07,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2017-12-07,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2017-12-08,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1 | 2,"
N1(42MM BORE CHAKING) & 
N1
G91G30Z0
 CHAKING) & 
N1(50MM L/M)",11,00:02:23,00:15:24,08:10:36,08:26:00,02:19:00,10:45:00,21
2017-12-08,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,42 | 41 | 40 | 971 | 970 | 972,"

N0
2MM BORE CHAKING) & 

N0
91G30Z0
 CHAKING) & 

N1
91G30Z0
 CHAKING) & 

N1
0MM L/M) & 

N0
0MM L/M)",37,00:02:42,00:02:32,08:24:28,08:27:00,02:18:00,10:45:00,21
2017-12-08,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1,"
N1(50MM L/M)",23,0,00:27:08,08:11:52,08:39:00,00:36:00,09:15:00,6
2017-12-08,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,972 | 975 | 200,"
N1
G30U0W0
) & 
N0
G30U0W0
)",44,00:03:19,00:01:20,04:41:40,04:43:00,04:32:00,09:15:00,49
2017-12-09,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,6 | 1,"
N1(50MM L/M)",30,00:01:12,00:11:36,08:18:24,08:30:00,02:15:00,10:45:00,20
2017-12-09,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,976 | 977,"
N0
G30U0W0
) & 

N0
0MM L/M)",21,00:04:20,00:06:46,07:36:14,07:43:00,03:02:00,10:45:00,28
2017-12-09,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1,"
N1(50MM L/M)",48,0,00:31:12,07:39:48,08:11:00,01:04:00,09:15:00,11
2017-12-09,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,977 | 1 | 970 | 971 | 976 | 223 | 61 | 63 | 65 | 60 | 1020,"

N0
0MM L/M) & 
N1
G30U0W0
)",49,00:05:34,17:49:27,00:00:00,04:47:00,04:28:00,09:15:00,48
2017-12-10,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,10:45:00,0
2017-12-10,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,10:45:00,0
2017-12-10,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2017-12-10,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2017-12-11,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1013 | 1011 | 1012 | 1 | 6,(CREEL DRIVE BRACKET),0,0,00:00:00,07:55:00,07:55:00,02:50:00,10:45:00,26
2017-12-11,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,222 | 1070 | 1 | 998 | 223 | 238,"
N1
G30U0W0
 BRACKET)",35,0,00:27:12,07:57:48,08:25:00,02:20:00,10:45:00,21
