Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,(REAR HOUSING),16,00:09:52,00:08:32,05:23:28,05:32:00,02:58:00,08:30:00,34
2017-12-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,(REAR HOUSING),39,00:09:53,00:25:54,01:40:06,02:06:00,06:24:00,08:30:00,75
2017-12-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 110,"(REAR HOUSING) & 
(O2224) & 


2224)",37,00:00:00,00:01:15,01:37:45,01:39:00,05:21:00,07:00:00,76
2017-12-02,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,(REAR HOUSING),43,00:09:48,00:25:05,01:15:55,01:41:00,06:49:00,08:30:00,80
2017-12-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,(REAR HOUSING),34,0,00:28:20,02:25:40,02:54:00,05:36:00,08:30:00,65
2017-12-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,07:00:00,0
2017-12-03,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,08:30:00,0
2017-12-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,08:30:00,0
2017-12-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,07:00:00,0
2017-12-04,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,"",0,0,00:00:00,08:28:00,08:28:00,00:02:00,08:30:00,0
2017-12-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,"",0,0,00:00:00,08:30:00,08:30:00,00:00:00,08:30:00,0
2017-12-04,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,07:00:00,0
2017-12-05,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 1600,(T00L CHANGE) & (REAR HOUSING),0,0,00:00:00,08:10:00,08:10:00,00:20:00,08:30:00,3
2017-12-05,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 110,"(REAR HOUSING) & 
(O2224)",9,00:08:36,00:23:30,01:26:30,01:50:00,06:40:00,08:30:00,78
2017-12-05,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 2224,"
(O2224) & (REAR HOUSING)",31,00:00:00,00:26:33,02:01:27,02:28:00,04:32:00,07:00:00,64
2017-12-06,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 3339 | 3870 | 3871 | 3860 | 3858,(REAR HOUSING) & (FLANGE 2W G85) & (G600MPH HOUSING 1ST OPN),20,00:07:01,00:38:57,04:32:03,05:11:00,03:19:00,08:30:00,39
2017-12-06,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 110,"(G600MPH HOUSING 1ST OPN) & 
(3870)",17,00:19:37,00:37:07,01:42:53,02:20:00,06:10:00,08:30:00,72
2017-12-06,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 3870,"
(3870) & (G600MPH HOUSING 1ST OPN)",12,0,01:45:27,01:12:33,02:58:00,04:02:00,07:00:00,57
2017-12-07,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 69,(G600MPH HOUSING 1ST OPN),6,00:15:18,00:11:54,05:47:06,05:59:00,02:31:00,08:30:00,29
2017-12-07,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 2208 | 110,"(G600MPH HOUSING 1ST OPN) & (PUMP ADAPTOR) & 
(O2208)",42,00:03:21,00:37:39,02:25:21,03:03:00,05:27:00,08:30:00,64
2017-12-07,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 1 | 2208,"
(O2208)",22,0,00:13:12,05:35:48,05:49:00,01:11:00,07:00:00,16
2017-12-08,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2208 | 3860,(G600 HOUSING 1ST OPN),2,00:28:12,00:04:32,06:30:28,06:35:00,01:55:00,08:30:00,22
2017-12-08,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860 | 110,"(G600 HOUSING 1ST OPN) & (SUB PRGM FOR 3860) & 


00 HOUSING 1ST OPN)",16,00:25:04,00:28:30,00:47:30,01:16:00,07:14:00,08:30:00,85
2017-12-08,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 3860,"


00 HOUSING 1ST OPN) & (SUB PRGM FOR 3860) & 


B PRGM FOR 3860) & (G600 HOUSING 1ST OPN)",10,0,00:21:09,02:18:51,02:40:00,04:20:00,07:00:00,61
2017-12-09,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,(G600 HOUSING 1ST OPN),9,00:28:10,00:19:48,03:42:12,04:02:00,04:28:00,08:30:00,52
2017-12-09,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,(G600 HOUSING 1ST OPN),4,00:28:16,00:07:24,06:31:36,06:39:00,01:51:00,08:30:00,21
2017-12-09,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,07:00:00,0
