Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2017-12-01,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-01,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-01,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-01,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-02,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-02,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-02,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-02,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-03,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-03,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-03,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-03,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-04,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-04,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-04,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-04,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-05,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-05,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-05,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-05,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-06,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-06,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-06,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-06,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-07,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-07,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-07,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-07,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-08,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-08,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-08,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-08,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-09,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-09,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-09,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-09,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-10,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-10,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-10,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-10,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,"",-,,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2017-12-11,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,3302,(3P DN15FB CONNECTOR SW -2nd),130,00:01:54,00:10:50,07:41:10,07:52:00,04:08:00,12:00:00,34
2017-12-11,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,4501 | 49 | 5000 | 9002 | 5007 | 3,(SLUG -1st),5,00:15:50,00:05:48,10:04:12,10:10:00,01:50:00,12:00:00,15
2017-12-11,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,3302 | 1,(3P DN15FB CONNECTOR SW -2nd) & (CONNECTOR FACING),415,00:00:33,00:48:50,04:13:10,05:02:00,06:58:00,12:00:00,58
2017-12-11,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,9002 | 5557,(DISC DN50 CL1500 410 -1st),24,00:00:34,00:23:36,04:21:24,04:45:00,07:15:00,12:00:00,60
2017-12-12,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,1,(CONNECTOR FACING),557,00:00:37,00:27:33,05:58:27,06:26:00,05:34:00,12:00:00,46
2017-12-12,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,SGP/TC-002,LX20T L5,5557 | 5001 | 3 | 4,"
N1
G28U0W0
ACING) & (DISC DN50 CL1500 410 2OPN)",12,00:00:00,00:10:48,08:19:12,08:30:00,03:30:00,12:00:00,29
2017-12-12,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,SGP/TC-001,LX20T L5,1,(CONNECTOR FACING),552,00:00:32,00:27:00,05:46:00,06:13:00,05:47:00,12:00:00,48
