Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2018-01-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2018-01-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2018-01-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2018-01-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-01-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-01-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-01-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),0,0,00:00:00,09:16:00,09:16:00,00:14:00,09:30:00,2
2018-01-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-01-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,"",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-01-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-01-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-01-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-01-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),10,00:43:44,01:06:00,01:52:00,02:58:00,06:32:00,09:30:00,68
