Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-01,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-01,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-01,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-02,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-02,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-02,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-03,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-03,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-03,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-04,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-04,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-04,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-05,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-05,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-05,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-06,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-06,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-06,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-07,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-07,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-07,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-08,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-08,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-08,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-09,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-09,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-09,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-10,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-10,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-10,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-11,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-11,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-11,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-12,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-12,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-12,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-13,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-13,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-13,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-14,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-14,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-14,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-15,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-15,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-15,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-16,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-16,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-16,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-17,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-17,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-17,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-18,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-18,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-18,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-19,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-19,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-19,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-20,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-20,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-20,3,01:00AM - 08:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:30:00,0
2018-01-21,1,08:00AM - 04:30PM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
2018-01-21,2,04:30PM - 01:00AM,Not Assigned,Not Assigned,SGI/CNC LL20T L3-05,LL20L3,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:50:00,0
