Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524 | 47 | 8143 | 8025 | 4520,(DIA 48 3 INCH REV PLATE),192,00:02:02,00:35:12,05:03:48,05:39:00,06:21:00,12:00:00,52
2018-01-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524,(DIA 48 3 INCH REV PLATE),193,00:00:29,00:19:06,06:31:54,06:51:00,05:09:00,12:00:00,42
2018-01-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524 | 1,(DIA 48 3 INCH REV PLATE),165,00:02:02,01:06:00,05:19:00,06:25:00,05:35:00,12:00:00,46
2018-01-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524 | 1,"(DIA 48 3 INCH REV PLATE) & 
N0G30U0.0W0.0
T0101
ATE)",167,00:01:13,00:28:26,07:25:34,07:54:00,04:06:00,12:00:00,34
2018-01-03,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,1 | 4524,"
N0G30U0.0W0.0
T0101
ATE) & (DIA 48 3 INCH REV PLATE)",88,00:01:13,00:30:48,09:42:12,10:13:00,01:47:00,12:00:00,14
2018-01-03,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524 | 4 | 3 | 8143 | 2 | 25 | 24,(80 X 46 X 9.5 THRUST RING),123,00:01:00,00:20:30,09:33:30,09:54:00,02:06:00,12:00:00,17
2018-01-04,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,25 | 1103 | 4524,"
(4 INCH 2ND OPN) & (DIA 48 3 INCH REV PLATE)",111,00:01:00,01:01:00,07:05:00,08:06:00,03:54:00,12:00:00,32
2018-01-04,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524 | 4000,(DIA 48 3 INCH REV PLATE),215,00:02:02,00:28:40,04:14:20,04:43:00,07:17:00,12:00:00,60
2018-01-05,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524,(DIA 48 3 INCH REV PLATE),119,00:02:02,00:55:32,06:59:28,07:55:00,04:05:00,12:00:00,34
2018-01-05,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524,(DIA 48 3 INCH REV PLATE),221,00:02:02,00:14:44,04:16:16,04:31:00,07:29:00,12:00:00,62
2018-01-06,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524,(DIA 48 3 INCH REV PLATE),172,00:02:02,00:31:32,05:30:28,06:02:00,05:58:00,12:00:00,49
2018-01-06,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4524,(DIA 48 3 INCH REV PLATE),219,00:02:02,00:14:28,04:19:32,04:34:00,07:26:00,12:00:00,61
