Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1020,(BEARING BLOCK FOR WORM WHEEL),0,0,00:00:00,09:31:00,09:31:00,01:14:00,10:45:00,11
2018-01-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,641,"

N1
ING BLOCK FOR WORM WHEEL)",48,00:06:22,00:17:58,05:28:02,05:46:00,04:59:00,10:45:00,46
2018-01-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2018-01-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2018-01-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1020 | 795,(BEARING BLOCK FOR WORM WHEEL) & (CLOS SETTING SADDLE/RNT),8,00:00:00,00:45:30,05:37:30,06:23:00,04:22:00,10:45:00,40
2018-01-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,641 | 248 | 1000 | 788 | 1,"

N1
ING BLOCK FOR WORM WHEEL) & 

N1
 SETTING SADDLE/RNT)",49,00:00:01,01:12:24,04:18:36,05:31:00,05:14:00,10:45:00,48
2018-01-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1020,(BEARING BLOCK FOR WORM WHEEL),10,00:04:40,00:27:10,06:32:50,07:00:00,02:15:00,09:15:00,24
2018-01-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2018-01-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,795,(CLOS SETTING SADDLE/RNT),0,0,00:00:00,04:53:00,04:53:00,05:52:00,10:45:00,54
2018-01-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,1 | 5 | 874 | 248 | 115 | 22 | 777 | 286 | 199 | 42,"

N1
 SETTING SADDLE/RNT) & (CONDENSOR 1OP)",95,00:02:08,01:00:18,05:32:42,06:33:00,04:12:00,10:45:00,39
2018-01-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,795,(CLOS SETTING SADDLE/RNT),0,0,00:00:00,06:46:00,06:46:00,02:29:00,09:15:00,26
2018-01-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,777 | 780,(CONDENSOR 1OP),128,00:02:24,00:20:14,04:03:46,04:24:00,04:51:00,09:15:00,52
2018-01-04,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,795 | 1 | 2 | 3 | 680 | 796 | 4 | 5,"(CLOS SETTING SADDLE/RNT) & 
N1(50) & 
N1(C/D) & 
N1(25M) & 
N12(10MM E/M)",0,0,00:00:00,06:57:00,06:57:00,03:48:00,10:45:00,35
2018-01-04,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,780 | 22 | 99 | 250 | 877 | 42,"(CONDENSOR 1OP) & 

N0
/D) & 

N0
5M) & 

N0
 SETTING SADDLE/RNT) & 

N0
10MM E/M)",11,00:08:42,00:04:30,08:23:30,08:28:00,02:17:00,10:45:00,21
2018-01-04,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,795,(CLOS SETTING SADDLE/RNT),0,0,00:00:00,07:34:00,07:34:00,01:41:00,09:15:00,18
2018-01-04,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2018-01-05,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,795 | 803,(CLOS SETTING SADDLE/RNT),0,0,00:00:00,05:48:00,05:48:00,04:57:00,10:45:00,46
2018-01-05,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,877,"

N0
 SETTING SADDLE/RNT)",44,00:04:35,00:01:30,06:45:30,06:47:00,03:58:00,10:45:00,36
2018-01-05,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,803,(CLOS SETTING SADDLE/RNT),0,0,00:00:00,08:17:00,08:17:00,00:58:00,09:15:00,10
2018-01-05,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2018-01-06,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,803 | 2 | 1,"(CLOS SETTING SADDLE/RNT) & 
N1(U D/R)",0,0,00:00:00,03:30:00,03:30:00,07:15:00,10:45:00,67
2018-01-06,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,877 | 878 | 248,"

N0
 SETTING SADDLE/RNT) & 

N1
 SETTING SADDLE/RNT) & 

N1
 D/R)",412,00:00:41,00:34:51,06:06:09,06:41:00,04:04:00,10:45:00,37
2018-01-06,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,1 | 1989 | 803,"
N1(U D/R) & (CLOS SETTING SADDLE/RNT)",2,00:05:18,01:49:54,06:09:06,07:59:00,01:16:00,09:15:00,13
2018-01-06,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,878 | 1 | 921 | 1120,"

N1
 D/R) & 

N1
 SETTING SADDLE/RNT) & 
N1
G30U0W0
G SADDLE/RNT) & 
N0
G30U0W0
G SADDLE/RNT)",246,00:02:42,00:15:20,04:41:40,04:57:00,04:18:00,09:15:00,46
2018-01-07,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,10:45:00,10:45:00,00:00:00,10:45:00,0
2018-01-07,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,1125,"
N0
G30U0W0
G SADDLE/RNT)",9,00:03:01,00:01:30,10:19:30,10:21:00,00:24:00,10:45:00,3
2018-01-07,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2018-01-07,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,09:15:00,09:15:00,00:00:00,09:15:00,0
2018-01-08,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,803,(CLOS SETTING SADDLE/RNT),16,00:05:18,02:42:56,02:10:04,04:53:00,05:52:00,10:45:00,54
2018-01-08,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,1125 | 28,"
N0
G30U0W0
G SADDLE/RNT)",76,00:04:54,00:15:00,04:25:00,04:40:00,06:05:00,10:45:00,56
2018-01-08,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,803,(CLOS SETTING SADDLE/RNT),7,00:05:17,01:03:35,05:39:25,06:43:00,02:32:00,09:15:00,27
