Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-01,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,(G600 HOUSING 1ST OPN),12,00:28:18,00:30:48,02:12:12,02:43:00,05:47:00,08:30:00,68
2018-01-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,(G600 HOUSING 1ST OPN),17,00:28:19,00:23:11,00:23:49,00:47:00,07:43:00,08:30:00,90
2018-01-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,(G600 HOUSING 1ST OPN),12,00:00:23,00:28:48,00:41:12,01:10:00,05:50:00,07:00:00,83
2018-01-02,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,(G600 HOUSING 1ST OPN),8,00:19:12,00:16:32,04:47:28,05:04:00,03:26:00,08:30:00,40
2018-01-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860 | 131 | 64 | 507,(G600 HOUSING 1ST OPN) & (GALIPOGLU HIDROMAS),49,00:00:47,00:21:40,02:12:20,02:34:00,05:56:00,08:30:00,69
2018-01-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,507,"(GALIPOGLU HIDROMAS) & 
G01G91Z-0.5F500
G01G91Y-15.95F250
0G40G49G80
G0G91G28Z0
NG 27/11/17) & 
G01G91Z-0.5F800
G01G91Y-15.95F300
0G40G49G80
G0G91G28Z0
NG 27/11/17)",257,00:00:36,00:12:51,04:01:09,04:14:00,02:46:00,07:00:00,39
2018-01-03,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,507 | 3870,(GALIPOGLU HIDROMAS) & (G600MPH HOUSING 1ST OPN),8,00:00:17,00:59:30,03:36:30,04:36:00,03:54:00,08:30:00,45
2018-01-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 110,"(G600MPH HOUSING 1ST OPN) & 
G01G91Z-2.0F5000
G1G90X-50.0F900
58-001) & (3870)",15,00:07:09,00:47:34,01:55:26,02:43:00,05:47:00,08:30:00,68
2018-01-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110,(3870),0,0,00:00:00,06:53:00,06:53:00,00:07:00,07:00:00,1
2018-01-04,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870,(G600MPH HOUSING 1ST OPN),16,00:20:07,00:51:28,01:21:32,02:13:00,06:17:00,08:30:00,73
2018-01-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 110,(G600MPH HOUSING 1ST OPN) & (3870),20,00:22:48,00:56:44,00:30:16,01:27:00,07:03:00,08:30:00,82
2018-01-04,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 3870,(3870) & (G600MPH HOUSING 1ST OPN),12,00:22:49,00:32:49,02:34:11,03:07:00,03:53:00,07:00:00,55
2018-01-05,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870,(G600MPH HOUSING 1ST OPN),12,00:22:48,00:34:24,03:09:36,03:44:00,04:46:00,08:30:00,56
2018-01-05,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870,(G600MPH HOUSING 1ST OPN),13,00:16:50,00:30:48,02:53:12,03:24:00,05:06:00,08:30:00,60
2018-01-05,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870,"",0,0,00:00:00,07:00:00,07:00:00,00:00:00,07:00:00,0
2018-01-06,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870,(G600MPH HOUSING 1ST OPN) & (SUB 3858),14,00:23:52,00:26:26,02:31:34,02:58:00,05:32:00,08:30:00,65
2018-01-06,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 110,(G600MPH HOUSING 1ST OPN) & (3870),20,00:22:48,00:40:29,01:12:31,01:53:00,06:37:00,08:30:00,77
2018-01-06,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110,(3870),8,00:20:06,00:14:00,03:47:00,04:01:00,02:59:00,07:00:00,42
2018-01-07,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 3870,(3870) & (G600MPH HOUSING 1ST OPN),16,00:20:05,00:21:14,02:50:46,03:12:00,05:18:00,08:30:00,62
2018-01-07,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,08:30:00,0
2018-01-07,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,07:00:00,0
2018-01-08,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 2224 | 2225 | 2229 | 2228 | 6 | 5 | 1600,(REAR HOUSING),13,00:04:44,00:08:24,05:22:36,05:31:00,02:59:00,08:30:00,35
2018-01-08,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2228 | 40 | 42 | 71 | 2225 | 2224,(REAR HOUSING),33,00:09:54,00:37:16,02:05:44,02:43:00,05:47:00,08:30:00,68
2018-01-08,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 110 | 1,(REAR HOUSING) & (2224),36,00:09:55,00:23:22,01:42:38,02:06:00,04:54:00,07:00:00,70
2018-01-09,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,(REAR HOUSING),42,00:09:49,00:25:20,01:09:40,01:35:00,06:55:00,08:30:00,81
2018-01-09,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224,(REAR HOUSING),41,00:09:54,00:32:48,01:12:12,01:45:00,06:45:00,08:30:00,79
2018-01-09,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 110 | 1,(REAR HOUSING) & (O2224),35,00:09:54,00:27:56,01:40:04,02:08:00,04:52:00,07:00:00,69
2018-01-10,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 507,(REAR HOUSING) & (GALIPOGLU HIDROMAS),83,00:00:35,00:35:15,01:29:45,02:05:00,06:25:00,08:30:00,75
2018-01-10,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,507 | 2224,(REAR HOUSING),35,00:00:26,00:26:50,02:08:10,02:35:00,05:55:00,08:30:00,69
2018-01-10,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 110,"(REAR HOUSING) & 
(2224)",35,00:09:35,00:29:36,01:45:24,02:15:00,04:45:00,07:00:00,67
2018-01-11,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,2224 | 3860,(REAR HOUSING) & (G600 HOUSING 1ST OPN),23,00:09:54,00:14:34,03:41:26,03:56:00,04:34:00,08:30:00,53
2018-01-11,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860 | 110,"(G600 HOUSING 1ST OPN) & 


00 HOUSING 1ST OPN)",12,00:28:19,00:39:08,02:33:52,03:13:00,05:17:00,08:30:00,62
2018-01-11,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 3860,"


00 HOUSING 1ST OPN) & (G600 HOUSING 1ST OPN)",7,00:15:01,01:01:20,03:03:40,04:05:00,02:55:00,07:00:00,41
2018-01-12,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,"(G600 HOUSING 1ST OPN) & (SUB PRGM FOR 3860) & 
G01G91Z-5.0F3000
G01G90G41D31X-45.0F2000
90G40G49G80
0G40G49G80
7/2017)",15,00:28:18,00:28:42,00:51:18,01:20:00,07:10:00,08:30:00,84
2018-01-12,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860,(G600 HOUSING 1ST OPN),15,00:10:19,00:30:06,00:49:54,01:20:00,07:10:00,08:30:00,84
2018-01-12,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3860 | 110 | 3060,"(G600 HOUSING 1ST OPN) & 


00 HOUSING 1ST OPN)",11,00:13:48,00:36:42,01:50:18,02:27:00,04:33:00,07:00:00,65
