Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-01-01,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-01,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-01,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-01,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-02,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-02,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-02,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-02,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-03,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-03,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-03,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-03,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-04,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-04,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-04,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-04,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
2018-01-05,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:00:00,0
