Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-02-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-02-01,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-02-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-02-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-02-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-02-02,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),7,00:44:28,00:23:24,03:44:36,04:08:00,05:22:00,09:30:00,56
2018-02-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-02-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),1,00:04:10,00:42:30,06:43:30,07:26:00,01:04:00,07:40:00,13
2018-02-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-02-03,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*) & (TOOL CHANGE PROGRAM),7,00:44:27,00:55:39,03:53:21,04:49:00,04:41:00,09:30:00,49
2018-02-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-02-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-02-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-04,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2018-02-04,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:30:00,0
2018-02-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2018-02-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,07:40:00,0
2018-02-04,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-04,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-05,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-02-05,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524 | 3522,(*BLOCK MOUNTING 2ND OPN-20*) & (WORK OFF SET 3524 BM 2ND),5,00:00:00,00:33:00,05:31:00,06:04:00,03:26:00,09:30:00,36
2018-02-05,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-02-05,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524 | 3519 | 3522,(*BLOCK MOUNTING 2ND OPN-20*),0,0,00:00:00,08:18:00,08:18:00,00:12:00,07:40:00,2
2018-02-05,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-05,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,06:40:00,0
2018-02-06,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,09:30:00,09:30:00,00:00:00,09:30:00,0
2018-02-06,1,07:30AM - 05:00PM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*),9,00:16:16,00:54:48,02:31:12,03:26:00,06:04:00,09:30:00,63
2018-02-06,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/06,VMC,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,07:40:00,0
2018-02-06,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,PCW/VMC/08,VMC,3524,(*BLOCK MOUNTING 2ND OPN-20*) & (TOOL CHANGE PROGRAM),3,00:00:14,02:46:45,04:03:15,06:50:00,01:40:00,07:40:00,21
