Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-02-01,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,12,(66*MMR_PLATE),68,00:00:15,00:04:32,11:37:28,11:42:00,00:18:00,12:00:00,2
2018-02-01,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,12,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-02,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,12 | 2768,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-02,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-03,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,(63 4* REVOLING PLATE),0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-03,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-04,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-04,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-05,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-05,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-06,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-06,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-07,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,2768 | 4520,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-07,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-08,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4520,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-08,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-09,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4520,(3 *REVOLIG PLAE),0,0,00:00:00,11:50:00,11:50:00,00:10:00,12:00:00,1
2018-02-09,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-10,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4520,"",0,0,00:00:00,11:44:00,11:44:00,00:16:00,12:00:00,2
2018-02-10,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,4520 | 1987,(3 *REVOLIG PLAE) & (6 INCH THRUST PLATE 2ND OPN),1,00:01:09,15:22:24,00:00:00,11:45:00,00:15:00,12:00:00,2
2018-02-11,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-11,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-12,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,1987,(6 INCH THRUST PLATE 2ND OPN),24,00:00:39,00:04:36,10:32:24,10:37:00,01:23:00,12:00:00,11
2018-02-12,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,1987,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-13,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,1987,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-13,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-14,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-14,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-15,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-15,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-16,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-16,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-17,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-17,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,1987,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-18,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-18,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-19,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-19,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-20,1,09:00AM - 09:00PM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-20,2,09:00PM - 09:00AM,Not Assigned,Not Assigned,SPC/TC-005,ACE Micromatic,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
