Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-02-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,841 | 1 | 851 | 2,"(CLOS SETTING SADDLE/RNT) & 
N1(50MM F/M) & (FEED ROLLER BRACKET)",0,0,03:38:36,04:58:24,08:37:00,02:08:00,10:45:00,19
2018-02-01,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"","",0,0,00:00:00,10:45:00,10:45:00,00:00:00,10:45:00,0
2018-02-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-01,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,851,"",0,0,00:00:00,10:45:00,10:45:00,00:00:00,10:45:00,0
2018-02-02,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,10:45:00,0
2018-02-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-02,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,10:45:00,0
2018-02-03,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,10:45:00,0
2018-02-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-03,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-04,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,10:45:00,0
2018-02-04,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,10:45:00,0
2018-02-04,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-04,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,09:15:00,0
2018-02-05,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,454,(CONDENSOR HOLDER PLATE),4,00:11:59,00:04:44,10:03:16,10:08:00,00:37:00,10:45:00,5
2018-02-05,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,735 | 28,"
N1
G30U0W0
OLDER PLATE)",0,0,00:00:44,10:39:16,10:40:00,00:05:00,10:45:00,0
2018-02-05,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,454,(CONDENSOR HOLDER PLATE),1,00:11:57,00:00:00,09:04:00,09:04:00,00:11:00,09:15:00,1
2018-02-05,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,735,"
N1
G30U0W0
OLDER PLATE)",1,00:03:00,00:02:41,09:08:19,09:11:00,00:04:00,09:15:00,0
2018-02-06,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,611,(BEARING BRACKET FOR 18/49T WHEEL),13,00:11:48,01:15:24,07:11:36,08:27:00,02:18:00,10:45:00,21
2018-02-06,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,740,"
N0
G30U0W0
CKET FOR 18/49T WHEEL)",0,0,00:05:04,08:04:56,08:10:00,02:35:00,10:45:00,24
2018-02-06,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,611,(BEARING BRACKET FOR 18/49T WHEEL),25,00:06:13,02:10:43,02:31:17,04:42:00,04:33:00,09:15:00,49
2018-02-06,2,06:45PM - 04:00AM,Not Assigned,Not Assigned,SMW/TC-002,ACE Micromatic,740 | 741,"
N0
G30U0W0
CKET FOR 18/49T WHEEL) & 
N1
G30U0W0
CKET FOR 18/49T WHEEL)",82,00:02:40,00:13:08,04:56:52,05:10:00,04:05:00,09:15:00,44
2018-02-07,1,08:00AM - 06:45PM,Not Assigned,Not Assigned,SMW/VMC-450,ACE Micromatic,"","",0,0,00:00:00,10:45:00,10:45:00,00:00:00,10:45:00,0
