Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-02-01,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870,(G600MPH HOUSING 1ST OPN),16,00:13:51,00:51:30,01:12:30,02:04:00,06:26:00,08:30:00,75
2018-02-01,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 110,"(G600MPH HOUSING 1ST OPN) & 


00MPH HOUSING 1ST OPN)",17,00:22:55,01:03:59,01:24:01,02:28:00,06:02:00,08:30:00,70
2018-02-01,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,110 | 1 | 3870,"


00MPH HOUSING 1ST OPN)",13,00:20:00,00:30:20,02:14:40,02:45:00,04:15:00,07:00:00,60
2018-02-02,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3870 | 3334,(G600MPH HOUSING 1ST OPN) & (PROPELLER SHAFT SMALL),6,00:15:23,07:52:12,00:00:00,05:46:00,02:44:00,08:30:00,32
2018-02-02,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3334,(PROPELLER SHAFT SMALL),3,00:00:41,01:45:00,05:38:00,07:23:00,01:07:00,08:30:00,13
2018-02-02,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,07:00:00,0
2018-02-03,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,3334,(PROPELLER SHAFT SMALL),7,00:02:35,01:30:56,03:21:04,04:52:00,03:38:00,08:30:00,42
2018-02-03,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,08:30:00,0
2018-02-03,3,01:30AM - 08:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,07:00:00,07:00:00,00:00:00,07:00:00,0
2018-02-04,1,08:30AM - 05:00PM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,08:30:00,0
2018-02-04,2,05:00PM - 01:30AM,Not Assigned,Not Assigned,AD/HMC-001,AMS Micromatic,"","",0,0,00:00:00,08:30:00,08:30:00,00:00:00,08:30:00,0
