Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-02-01,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,"","",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-01,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,9003 | 1,(WARM UP) & (414267-234) & (414267-228) & (414267-229),215,00:01:48,00:51:15,04:34:45,05:26:00,06:34:00,12:00:00,54
2018-02-01,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,4028,"",0,0,00:00:00,12:00:00,12:00:00,00:00:00,12:00:00,0
2018-02-01,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,9003,(414267-229) & (414267-230) & (414267-231),150,00:01:47,00:40:00,06:52:00,07:32:00,04:28:00,12:00:00,37
2018-02-02,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,4028 | 5,"

N1(11.75FORM TOOL) & (DS2 HOUSING NEW-PALLET 1) & (3.4 E.M SOFT) & (4.6 E.M SOFT) & (1-8 BSP) & (1-4 BSP)",6,00:44:01,00:11:26,08:01:34,08:13:00,03:47:00,12:00:00,31
2018-02-02,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,9003 | 1,(WARM UP) & (414267-231) & (414267-232) & (414267-233),209,00:00:00,00:48:32,04:47:28,05:36:00,06:24:00,12:00:00,53
2018-02-02,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,5 | 155,(3RD OP 1ST 2ST PALLET 414024),4,00:30:34,00:07:09,03:52:51,04:00:00,08:00:00,12:00:00,66
2018-02-02,2,08:00PM - 08:00AM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,9003,(414267-233) & (414267-254),179,00:01:47,00:47:44,05:53:16,06:41:00,05:19:00,12:00:00,44
2018-02-03,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/AMSVMC-001,AMS/VMC,155 | 21 | 30,(3RD OP 1ST 2ST PALLET 414024) & (414024 4TH 5TH OP 1ST PALLET),15,00:30:36,00:10:00,03:46:00,03:56:00,08:04:00,12:00:00,67
2018-02-03,1,08:00AM - 08:00PM,Not Assigned,Not Assigned,AHEPL/LMW/TC-002,SMARTURN,9003 | 1,(WARM UP) & (414267-255) & (414267-223) & (414267-220),238,00:01:47,00:03:56,04:43:04,04:47:00,07:13:00,12:00:00,60
