Date,Shift,Time,Operator MFR,Operator ID,Machine Name,Machine ID,Program Number,Job Description,Parts Produced(No's),Cycle Time(M:S),Loading and Unloading Time(Hrs),Idle Time (Hrs),Total Downtime(Hrs),Actual Running(Hrs),Actual Working Hours,Utilization
2018-02-01,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-01,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-02,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-02,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-03,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-03,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-04,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-04,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-05,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-05,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-06,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-06,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-07,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-07,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-08,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-08,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-09,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-09,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-10,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-10,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-11,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,12:30:00,0
2018-02-11,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"",-,0,0,00:00:00,00:00:00,00:00:00,00:00:00,11:30:00,0
2018-02-12,1,07:30AM - 08:00PM,Vimal,BA/M/TC/OP-001,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),16,00:07:17,00:51:31,08:57:29,09:49:00,02:41:00,12:30:00,21
2018-02-12,2,08:00PM - 07:30AM,SathisBabu,BA/M/TC/OP-002,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),36,00:09:31,01:03:36,04:06:24,05:10:00,06:20:00,11:30:00,55
2018-02-13,1,07:30AM - 08:00PM,Vimal,BA/M/TC/OP-001,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),39,00:14:10,00:05:42,05:32:18,05:38:00,06:52:00,12:30:00,54
2018-02-13,2,08:00PM - 07:30AM,SathisBabu,BA/M/TC/OP-002,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),41,00:09:31,01:06:58,03:15:02,04:22:00,07:08:00,11:30:00,62
2018-02-14,1,07:30AM - 08:00PM,Vimal,BA/M/TC/OP-001,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),38,00:09:31,00:48:08,04:57:52,05:46:00,06:44:00,12:30:00,53
2018-02-14,2,08:00PM - 07:30AM,SathisBabu,BA/M/TC/OP-002,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),38,00:09:31,00:51:18,03:59:42,04:51:00,06:39:00,11:30:00,57
2018-02-15,1,07:30AM - 08:00PM,Vimal,BA/M/TC/OP-001,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),32,00:11:18,00:44:48,05:52:12,06:37:00,05:53:00,12:30:00,47
2018-02-15,2,08:00PM - 07:30AM,SathisBabu,BA/M/TC/OP-002,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),38,00:09:31,00:37:22,04:24:38,05:02:00,06:28:00,11:30:00,56
2018-02-16,1,07:30AM - 08:00PM,Vimal,BA/M/TC/OP-001,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),28,00:11:53,00:44:20,06:22:40,07:07:00,05:23:00,12:30:00,43
2018-02-16,2,08:00PM - 07:30AM,SathisBabu,BA/M/TC/OP-002,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),39,00:09:31,01:01:45,04:15:15,05:17:00,06:13:00,11:30:00,54
2018-02-17,1,07:30AM - 08:00PM,Vimal,BA/M/TC/OP-001,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),42,00:09:31,00:58:06,04:11:54,05:10:00,07:20:00,12:30:00,58
2018-02-17,2,08:00PM - 07:30AM,SathisBabu,BA/M/TC/OP-002,SBE/TC/BA/M-M123,LMW,9924,(R921179923 FRONT CASE 3RD OP),39,00:09:31,00:51:21,04:10:39,05:02:00,06:28:00,11:30:00,56
2018-02-18,1,07:30AM - 08:00PM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,9924,"",0,0,00:00:00,12:30:00,12:30:00,00:00:00,12:30:00,0
2018-02-18,2,08:00PM - 07:30AM,Not Assigned,Not Assigned,SBE/TC/BA/M-M123,LMW,"","",0,0,00:00:00,11:30:00,11:30:00,00:00:00,11:30:00,0
